<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: dM [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um
12.06.2025 13:23:39	0,31	0,23	0,27	0,20	0,09	0,14	0,05	0,09	0,00	0,08	0,26	0,42	0,00	0,56	0,00	3,02
12.06.2025 13:23:40	0,28	0,25	0,24	0,23	0,14	0,13	0,14	0,09	0,14	0,08	0,51	0,42	0,34	0,56	0,92	0,00
12.06.2025 13:23:41	0,30	0,21	0,25	0,27	0,10	0,25	0,14	0,09	0,05	0,31	0,26	0,21	0,00	0,56	0,92	1,51
12.06.2025 13:23:42	0,29	0,23	0,25	0,24	0,15	0,12	0,04	0,03	0,10	0,31	0,00	0,63	0,34	0,56	0,92	0,00
12.06.2025 13:23:43	0,32	0,24	0,25	0,26	0,13	0,08	0,12	0,12	0,24	0,00	0,00	0,21	1,72	1,12	0,00	6,03
12.06.2025 13:23:44	0,33	0,23	0,22	0,23	0,15	0,12	0,05	0,03	0,05	0,08	0,26	0,42	0,00	0,00	0,00	0,00
12.06.2025 13:23:45	0,31	0,21	0,26	0,21	0,17	0,11	0,11	0,03	0,10	0,00	0,38	0,21	0,34	0,56	0,92	3,02
12.06.2025 13:23:46	0,33	0,21	0,25	0,26	0,15	0,09	0,07	0,03	0,10	0,08	0,13	0,00	0,34	0,00	0,00	3,02
12.06.2025 13:23:47	0,29	0,21	0,25	0,21	0,13	0,09	0,05	0,00	0,14	0,16	0,26	0,42	0,69	0,00	1,84	0,00
12.06.2025 13:23:48	0,29	0,22	0,25	0,28	0,16	0,12	0,12	0,06	0,14	0,08	0,00	1,05	0,34	2,81	0,00	1,51
12.06.2025 13:23:49	0,31	0,25	0,22	0,25	0,16	0,11	0,12	0,09	0,05	0,08	0,26	0,21	0,00	1,12	0,00	1,51
12.06.2025 13:23:50	0,32	0,23	0,21	0,30	0,19	0,13	0,07	0,06	0,00	0,08	0,13	0,21	0,69	0,56	0,00	1,51
12.06.2025 13:23:51	0,32	0,24	0,19	0,23	0,16	0,11	0,12	0,17	0,19	0,00	0,26	0,42	0,00	1,12	0,00	3,02
12.06.2025 13:23:52	0,30	0,23	0,23	0,26	0,14	0,14	0,12	0,00	0,00	0,00	0,26	0,00	0,34	0,00	0,00	6,03
12.06.2025 13:23:53	0,29	0,25	0,24	0,22	0,16	0,11	0,09	0,09	0,19	0,16	0,26	1,26	1,37	0,56	0,92	1,51
